id,smoker_pred,smoker_prob
159256,1,0.5452118
159257,0,0.24200101
159258,0,0.38921708
159259,0,0.03701247
159260,1,0.72412103
159261,1,0.9136459
159262,0,0.3989419
159263,0,0.116341755
159264,0,0.077323966
159265,0,0.041686494
159266,1,0.6306234
159267,0,0.18510154
159268,0,0.007760525
159269,0,0.11950153
159270,0,0.0041169147
159271,1,0.66340464
159272,1,0.8524115
159273,1,0.681355
159274,0,0.08566691
159275,0,0.44689512
159276,0,0.36383346
159277,1,0.879772
159278,1,0.54507977
159279,1,0.75861466
159280,0,0.057181068
159281,1,0.81931263
159282,1,0.788044
159283,1,0.6214581
159284,1,0.7243293
159285,0,0.0016075347
159286,1,0.7420056
159287,0,0.0101641975
159288,0,0.25658154
159289,1,0.69295746
159290,1,0.5959247
159291,0,0.44507688
159292,0,0.037564643
159293,0,0.12683271
159294,0,0.22140382
159295,1,0.63325846
159296,1,0.8853835
159297,0,0.0059801
159298,0,0.12864412
159299,0,0.00070726377
159300,0,0.013918574
159301,0,0.014589906
159302,0,0.07905324
159303,0,0.30318698
159304,0,0.3195076
159305,1,0.69882125
159306,1,0.73133427
159307,0,0.11965588
159308,0,0.4337849
159309,0,0.121386744
159310,0,0.46417272
159311,1,0.65447956
159312,0,0.3079463
159313,1,0.5508984
159314,1,0.63398975
159315,1,0.6394626
159316,0,0.018012792
159317,1,0.6400499
159318,0,0.41509676
159319,1,0.707708
159320,1,0.7500066
159321,0,0.085502565
159322,1,0.6128534
159323,1,0.5967446
159324,0,0.2507227
159325,0,0.42539385
159326,1,0.7050162
159327,1,0.72752464
159328,1,0.57797843
159329,0,0.4928065
159330,0,0.017567944
159331,1,0.8460158
159332,0,0.010528853
159333,0,0.00092683604
159334,0,0.25350574
159335,0,0.18290883
159336,0,0.4770135
159337,1,0.7064044
159338,0,0.38429627
159339,1,0.8946362
159340,1,0.7225432
159341,1,0.8394777
159342,1,0.8128108
159343,0,0.4897782
159344,0,0.34570804
159345,0,0.023086762
159346,1,0.7074266
159347,1,0.6716698
159348,1,0.7895094
159349,0,0.0098439995
159350,0,0.019207595
159351,1,0.8261576
159352,0,0.339685
159353,0,0.48043275
159354,0,0.012576296
159355,1,0.9217333
159356,1,0.80192745
159357,1,0.92765063
159358,0,0.3976297
159359,1,0.58095384
159360,0,0.059543736
159361,1,0.8163242
159362,0,0.032744948
159363,1,0.6503407
159364,1,0.8017265
159365,1,0.74995506
159366,0,0.008310103
159367,0,0.40602556
159368,0,0.49203777
159369,1,0.6777377
159370,0,0.44364387
159371,1,0.5220712
159372,0,0.12004445
159373,1,0.7522411
159374,1,0.53961265
159375,1,0.8909365
159376,1,0.76147866
159377,0,0.0012948138
159378,1,0.788719
159379,0,0.31477335
159380,0,0.053391326
159381,0,0.018482514
159382,1,0.5757079
159383,0,0.01955878
159384,1,0.5581888
159385,0,0.008570371
159386,1,0.63907206
159387,1,0.8703621
159388,1,0.7676136
159389,0,0.0018010795
159390,1,0.70605135
159391,0,0.4647801
159392,1,0.77641505
159393,0,0.011678234
159394,0,0.30473974
159395,1,0.8804545
159396,1,0.84082514
159397,1,0.60917234
159398,1,0.8354844
159399,1,0.7994898
159400,1,0.6257879
159401,1,0.82061857
159402,0,0.021985175
159403,0,0.07275447
159404,1,0.8578494
159405,0,0.012720307
159406,0,0.15662387
159407,0,0.014783803
159408,0,0.007413319
159409,1,0.8412771
159410,1,0.60472715
159411,1,0.97022843
159412,1,0.82419497
159413,1,0.77873945
159414,0,0.12945491
159415,0,0.43477643
159416,0,0.36277354
159417,0,0.4406357
159418,1,0.7215964
159419,0,0.03197593
159420,1,0.801727
159421,1,0.53633076
159422,0,0.14643435
159423,0,0.0068246243
159424,0,0.008930107
159425,1,0.51818514
159426,0,0.10302945
159427,0,0.06109794
159428,0,0.0014304454
159429,0,0.14181788
159430,0,0.020582095
159431,1,0.86217505
159432,0,0.01203988
159433,0,0.124920964
159434,0,0.24385083
159435,0,0.48543864
159436,1,0.73730373
159437,0,0.068924844
159438,1,0.6812511
159439,0,0.28021133
159440,0,0.051871866
159441,1,0.9062275
159442,0,0.19517644
159443,0,0.01943172
159444,0,0.0849074
159445,1,0.6708088
159446,1,0.9327382
159447,1,0.58736694
159448,1,0.83556855
159449,0,0.39435112
159450,0,0.00081849657
159451,1,0.90005594
159452,1,0.5409082
159453,0,0.06706649
159454,1,0.72578037
159455,1,0.8169291
159456,0,0.0020853186
159457,1,0.6590844
159458,1,0.5824234
159459,0,0.46614403
159460,0,0.10561046
159461,1,0.71312237
159462,0,0.06378675
159463,0,0.013702922
159464,0,0.28767705
159465,0,0.34948915
159466,0,0.06750392
159467,1,0.7538979
159468,1,0.92486763
159469,1,0.6109434
159470,1,0.8078081
159471,1,0.70623034
159472,1,0.88930744
159473,0,0.069098294
159474,0,0.4302564
159475,0,0.30125415
159476,0,0.03669121
159477,0,0.11870184
159478,1,0.7902081
159479,0,0.08068196
159480,0,0.2860113
159481,0,0.1605986
159482,1,0.82919985
159483,0,0.025380818
159484,0,0.020758785
159485,0,0.26666236
159486,0,0.12035113
159487,0,0.102194056
159488,1,0.59837794
159489,0,0.08554221
159490,1,0.50591314
159491,1,0.9502428
159492,0,0.263372
159493,1,0.79772204
159494,0,0.029129032
159495,0,0.0014496476
159496,1,0.8086078
159497,0,0.30152437
159498,0,0.47532317
159499,1,0.7777417
159500,0,0.1374037
159501,1,0.6726745
159502,1,0.9199148
159503,0,0.010499173
159504,1,0.62524104
159505,0,0.01105911
159506,1,0.9111314
159507,1,0.7360413
159508,1,0.8083226
159509,1,0.88284314
159510,0,0.023791399
159511,0,0.0008487291
159512,0,0.053020947
159513,0,0.30416346
159514,0,0.22899432
159515,1,0.7512836
159516,1,0.60325426
159517,0,0.021464406
159518,0,0.006037762
159519,0,0.14454105
159520,0,0.14884539
159521,1,0.9675495
159522,1,0.69416595
159523,0,0.004013319
159524,1,0.6589884
159525,0,0.012494689
159526,0,0.3305672
159527,0,0.0068644313
159528,0,0.482984
159529,1,0.8662323
159530,1,0.7006284
159531,0,0.22049111
159532,1,0.9118367
159533,1,0.8749937
159534,1,0.57070863
159535,1,0.57990074
159536,0,0.008575831
159537,0,0.41547486
159538,1,0.7257908
159539,1,0.86743563
159540,0,0.0012026912
159541,0,0.248216
159542,0,0.43462703
159543,0,0.013902628
159544,1,0.6022214
159545,1,0.5170649
159546,1,0.5870161
159547,1,0.5233419
159548,1,0.7218803
159549,0,0.03748562
159550,0,0.021141885
159551,1,0.7103493
159552,1,0.7453839
159553,0,0.44211406
159554,0,0.055974554
159555,1,0.8586988
159556,1,0.8884047
159557,1,0.86006624
159558,0,0.15009905
159559,1,0.6909342
159560,0,0.017220998
159561,1,0.9248806
159562,1,0.9572273
159563,0,0.3432351
159564,0,0.01614001
159565,0,0.09334071
159566,0,0.1433107
159567,1,0.86141074
159568,1,0.64350975
159569,0,0.026021795
159570,1,0.6697708
159571,0,0.08993167
159572,0,0.45903936
159573,0,0.013473238
159574,1,0.81575865
159575,0,0.025061095
159576,0,0.08295848
159577,1,0.762054
159578,0,0.37903428
159579,0,0.040518135
159580,1,0.69368124
159581,0,0.07746854
159582,0,0.39678818
159583,1,0.77965564
159584,0,0.37644044
159585,0,0.48490533
159586,0,0.34812525
159587,1,0.89534116
159588,1,0.8611593
159589,1,0.87564546
159590,1,0.83814526
159591,1,0.72183996
159592,0,0.019068321
159593,1,0.7686949
159594,0,0.04175508
159595,1,0.7934684
159596,1,0.7164401
159597,0,0.36293882
159598,0,0.035161708
159599,0,0.010149973
159600,0,0.004142021
159601,1,0.64133835
159602,0,0.06889152
159603,1,0.72704405
159604,0,0.4050566
159605,0,0.39926258
159606,0,0.0021168888
159607,0,0.016286528
159608,1,0.858599
159609,0,0.4929266
159610,0,0.0017285742
159611,0,0.012054921
159612,1,0.57107836
159613,1,0.81395894
159614,0,0.016474858
159615,0,0.018390987
159616,0,0.2138379
159617,0,0.06431104
159618,1,0.7227638
159619,0,0.029715918
159620,1,0.60595274
159621,1,0.7964908
159622,1,0.8491215
159623,1,0.647183
159624,0,0.00782113
159625,0,0.02317356
159626,0,0.049861547
159627,1,0.5601709
159628,1,0.53177446
159629,1,0.73733073
159630,0,0.27091417
159631,0,0.23869875
159632,0,0.08320691
159633,0,0.026332475
159634,1,0.7942395
159635,0,0.0063554053
159636,0,0.05515715
159637,0,0.12731038
159638,1,0.69700927
159639,0,0.17631364
159640,0,0.04709343
159641,0,0.071243614
159642,0,0.11984719
159643,0,0.30076692
159644,0,0.34868926
159645,0,0.4314996
159646,0,0.0036692636
159647,0,0.47203127
159648,1,0.5118151
159649,0,0.4908767
159650,1,0.91518587
159651,1,0.92067224
159652,0,0.48791438
159653,0,0.21848735
159654,0,0.060229268
159655,1,0.77288324
159656,0,0.10850598
159657,1,0.58888423
159658,0,0.009468404
159659,0,0.0030031765
159660,0,0.44657782
159661,1,0.5851844
159662,0,0.4827051
159663,1,0.76249653
159664,0,0.00628164
159665,1,0.50674224
159666,1,0.6450004
159667,0,0.28176004
159668,1,0.78653276
159669,1,0.5111781
159670,0,0.029449219
159671,1,0.8208158
159672,0,0.45537725
159673,1,0.82833785
159674,0,0.47404206
159675,1,0.8359338
159676,0,0.001677713
159677,0,0.46415108
159678,1,0.58101994
159679,0,0.032253616
159680,1,0.86192495
159681,0,0.27379102
159682,1,0.7174756
159683,1,0.75831467
159684,0,0.47252798
159685,1,0.68323123
159686,0,0.10892218
159687,0,0.0023882373
159688,1,0.95539033
159689,0,0.15793028
159690,1,0.79216164
159691,1,0.6583739
159692,1,0.91334516
159693,0,0.37552604
159694,0,0.4924314
159695,0,0.0012930996
159696,0,0.009395706
159697,0,0.023436802
159698,0,0.22134376
159699,1,0.61308277
159700,1,0.51913565
159701,1,0.803617
159702,1,0.7094503
159703,0,0.029492605
159704,1,0.6223202
159705,0,0.014811555
159706,0,0.1763735
159707,1,0.8233331
159708,1,0.78440523
159709,1,0.9392078
159710,1,0.93524724
159711,1,0.9152737
159712,1,0.7763049
159713,1,0.6713742
159714,1,0.61539155
159715,0,0.39930516
159716,1,0.6604135
159717,0,0.008482804
159718,0,0.47495702
159719,0,0.046437882
159720,1,0.6783525
159721,1,0.7679663
159722,0,0.47681868
159723,0,0.029115573
159724,0,0.027356265
159725,1,0.8234382
159726,0,0.01810975
159727,0,0.0014300873
159728,0,0.013831813
159729,1,0.6641142
159730,0,0.27150837
159731,1,0.80956376
159732,0,0.011797595
159733,1,0.6004758
159734,0,0.3722545
159735,0,0.0047558565
159736,1,0.5787831
159737,1,0.80904675
159738,0,0.01759585
159739,0,0.009862513
159740,1,0.63402987
159741,0,0.48541853
159742,0,0.41934133
